year,match,map,maps_played,wins,draws,losses,total_kills,total_deaths,rounds_played,K/D_ratio,players_played
2023,LAN,Cobblestone,0,0,0,0,0,0,0,-,-
2023,LAN,Season,0,0,0,0,0,0,0,-,-
2023,LAN,Train,0,0,0,0,0,0,0,-,-
2023,LAN,Tuscan,0,0,0,0,0,0,0,-,-
2023,Online,Ancient,4,1,0,3,357,410,114,0.87,cyber - EMSTAR - jottAAA - Cizzx - TR0JN - Wicadia
2023,Online,Dust2,0,0,0,0,0,0,0,-,-
2023,Online,Inferno,3,1,0,2,228,248,70,0.92,cyber - EMSTAR - jottAAA - TR0JN - Wicadia
2023,Online,Mirage,7,5,0,2,687,678,204,1.01,cyber - EMSTAR - jottAAA - Cizzx - TR0JN - Wicadia
2023,Online,Nuke,0,0,0,0,0,0,0,-,-
2023,Online,Overpass,3,1,0,2,192,255,63,0.75,cyber - EMSTAR - jottAAA - TR0JN - Wicadia
2023,Online,Vertigo,3,0,0,3,236,290,79,0.81,cyber - EMSTAR - jottAAA - Cizzx - TR0JN - Wicadia
2023,Online,Anubis,0,0,0,0,0,0,0,-,-
2023,Online,Cache,0,0,0,0,0,0,0,-,-
2023,Online,Cobblestone,0,0,0,0,0,0,0,-,-
2023,Online,Season,0,0,0,0,0,0,0,-,-
2023,Online,Train,0,0,0,0,0,0,0,-,-
2023,Online,Tuscan,0,0,0,0,0,0,0,-,-
