team;year;date;HLTV_rankings;roster;names
Aurora;2026;16.02.2026;11;MAJ3R - XANTARES - soulfly - woxic - Wicadia;İsmailcan Dörtkardeş
Aurora;2026;9.02.2026;11;MAJ3R - XANTARES - soulfly - woxic - Wicadia;İsmailcan Dörtkardeş
