team,year,date,HLTV_rankings,roster,nats
Eternal Fire Academy,2023,25/12/2023,133,cyber - colorzz - EMSTAR - jottAAA - scolleN,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire Academy,2023,18/12/2023,136,cyber - colorzz - EMSTAR - jottAAA - scolleN,Turkish - Turkish - Turkish - Turkish - Turkish
Eternal Fire Academy,2023,10/07/2023,212,cyber - EMSTAR - jottAAA - scolleN - RENNOW,Turkish - Turkish - Turkish - Turkish - Turkish
